,is_asm,maszyna,asm_name,name,biblioteka,par_per_asm
0,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_02.00.00.000_Modul_lancuchowy_staly,036P_02.00.00.000_Modul_lancuchowy_staly,1
1,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_934_M10_Zn_KL8,DIN_934_M10_Zn_KL8,1
2,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_03.00.00.000_Oprawa_dzielona_fi30,036P_03.00.00.000_Oprawa_dzielona_fi30,1
3,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_01.00.00.000M_Modul_lancuchowy_podnoszony,036P_01.00.00.000M_Modul_lancuchowy_podnoszony,1
4,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_01.00.00.000_Modul_lancuchowy_podnoszony,036P_01.00.00.000_Modul_lancuchowy_podnoszony,1
5,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_933_M10x90_Zn_KL8.8,DIN_933_M10x90_Zn_KL8.8,1
6,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_04.00.00.000_Wal_podnoszacy,036P_04.00.00.000_Wal_podnoszacy,1
7,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_9021_M8_Zn_HV200,DIN_9021_M8_Zn_HV200,1
8,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_01.00.00.000M_Modul_lancuchowy_podnoszony,036P_01.00.00.000M_Modul_lancuchowy_podnoszony,1
9,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_125_M16_Zn_HV200,DIN_125_M16_Zn_HV200,1
10,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,683677 SBN-50_63---(R),683677 SBN-50_63---(R),1
11,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,"036P_01.00.00.006_Tulejka_21,3x2,6x14","036P_01.00.00.006_Tulejka_21,3x2,6x14",1
12,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,"Glowica_przegubowa_9263 SGS-M16x1,5","Glowica_przegubowa_9263 SGS-M16x1,5",1
13,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_912_M8x25_Zn_KL8.8,DIN_912_M8x25_Zn_KL8.8,1
14,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,Zawor_dlawiaco-zwrotny_GRLA-1_4-QS-8-D,Zawor_dlawiaco-zwrotny_GRLA-1_4-QS-8-D,1
15,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_985_M16_Zn_KL8,DIN_985_M16_Zn_KL8,1
16,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_125_M8_Zn_HV200,DIN_125_M8_Zn_HV200,1
17,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_125_M8_Zn_HV200,DIN_125_M8_Zn_HV200,1
18,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_985_M8_Zn_KL.8,DIN_985_M8_Zn_KL.8,1
19,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_985_M8_Zn_KL.8,DIN_985_M8_Zn_KL.8,1
20,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,Zawor_dlawiaco-zwrotny_GRLA-1_4-QS-8-D,Zawor_dlawiaco-zwrotny_GRLA-1_4-QS-8-D,1
21,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_985_M8_Zn_KL.8,DIN_985_M8_Zn_KL.8,1
22,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_931_M16x100_Zn_KL8.8,DIN_931_M16x100_Zn_KL8.8,1
23,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_912_M8x25_Zn_KL8.8,DIN_912_M8x25_Zn_KL8.8,1
24,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_931_M16x100_Zn_KL8.8,DIN_931_M16x100_Zn_KL8.8,1
25,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_985_M16_Zn_KL8,DIN_985_M16_Zn_KL8,1
26,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_125_M16_Zn_HV200,DIN_125_M16_Zn_HV200,1
27,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_125_M16_Zn_HV200,DIN_125_M16_Zn_HV200,1
28,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,Zawor_dlawiaco-zwrotny_GRLA-1_4-QS-8-D,Zawor_dlawiaco-zwrotny_GRLA-1_4-QS-8-D,1
29,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,Zawor_dlawiaco-zwrotny_GRLA-1_4-QS-8-D,Zawor_dlawiaco-zwrotny_GRLA-1_4-QS-8-D,1
30,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_912_M8x25_Zn_KL8.8,DIN_912_M8x25_Zn_KL8.8,1
31,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_985_M8_Zn_KL.8,DIN_985_M8_Zn_KL.8,1
32,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_125_M8_Zn_HV200,DIN_125_M8_Zn_HV200,1
33,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,"Glowica_przegubowa_9263 SGS-M16x1,5","Glowica_przegubowa_9263 SGS-M16x1,5",1
34,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,Silownik_DSNU-50-125-P-A,Silownik_DSNU-50-125-P-A,1
35,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,683677 SBN-50_63---(R),683677 SBN-50_63---(R),1
36,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,539926 SBN-50_63---(0LB),539926 SBN-50_63---(0LB),1
37,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_03.00.00.000_Oprawa_dzielona_fi30,036P_03.00.00.000_Oprawa_dzielona_fi30,1
38,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_912_M8x25_Zn_KL8.8,DIN_912_M8x25_Zn_KL8.8,1
39,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_931_M16x100_Zn_KL8.8,DIN_931_M16x100_Zn_KL8.8,1
40,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_127_M8_Zn_HV200,DIN_127_M8_Zn_HV200,1
41,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_934_M8_Zn_KL8,DIN_934_M8_Zn_KL8,1
42,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_933_M8x30_Zn_KL8.8,DIN_933_M8x30_Zn_KL8.8,1
43,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_931_M16x100_Zn_KL8.8,DIN_931_M16x100_Zn_KL8.8,1
44,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_985_M16_Zn_KL8,DIN_985_M16_Zn_KL8,1
45,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_125_M16_Zn_HV200,DIN_125_M16_Zn_HV200,1
46,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_125_M16_Zn_HV200,DIN_125_M16_Zn_HV200,1
47,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,Kolo_lancuchowe_z_piasta_SM_12B-2_z17_d25,Kolo_lancuchowe_z_piasta_SM_12B-2_z17_d25,1
48,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_985_M8_Zn_KL.8,DIN_985_M8_Zn_KL.8,1
49,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_912_M8x25_Zn_KL8.8,DIN_912_M8x25_Zn_KL8.8,1
50,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_03.00.00.000_Oprawa_dzielona_fi30,036P_03.00.00.000_Oprawa_dzielona_fi30,1
51,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_03.00.00.000_Oprawa_dzielona_fi30,036P_03.00.00.000_Oprawa_dzielona_fi30,1
52,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_03.00.00.000_Oprawa_dzielona_fi30,036P_03.00.00.000_Oprawa_dzielona_fi30,1
53,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,Motoreduktor_CHM_50_10_80_B14_V6_CHT_80_D4_1.10_Kw_230-400V-50Hz_1_CHT_MVS_SX_PC_DX,Motoreduktor_CHM_50_10_80_B14_V6_CHT_80_D4_1.10_Kw_230-400V-50Hz_1_CHT_MVS_SX_PC_DX,1
54,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_06.00.00.000_Cieglo,036P_06.00.00.000_Cieglo,1
55,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_985_M8_Zn_KL.8,DIN_985_M8_Zn_KL.8,1
56,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_125_M8_Zn_HV200,DIN_125_M8_Zn_HV200,1
57,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_912_M8x25_Zn_KL8.8,DIN_912_M8x25_Zn_KL8.8,1
58,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_985_M8_Zn_KL.8,DIN_985_M8_Zn_KL.8,1
59,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_125_M8_Zn_HV200,DIN_125_M8_Zn_HV200,1
60,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_125_M8_Zn_HV200,DIN_125_M8_Zn_HV200,1
61,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_912_M8x25_Zn_KL8.8,DIN_912_M8x25_Zn_KL8.8,1
62,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,Zawor_dlawiaco-zwrotny_GRLA-1_4-QS-8-D,Zawor_dlawiaco-zwrotny_GRLA-1_4-QS-8-D,1
63,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,Tuleja_zaciskowa_BK13-35x60,Tuleja_zaciskowa_BK13-35x60,1
64,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_03.00.00.000_Oprawa_dzielona_fi30,036P_03.00.00.000_Oprawa_dzielona_fi30,1
65,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_00.00.00.002_Kolo_lancuchowe_z_piasta_12B-2_z17,036P_00.00.00.002_Kolo_lancuchowe_z_piasta_12B-2_z17,1
66,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_03.00.00.000_Oprawa_dzielona_fi30,036P_03.00.00.000_Oprawa_dzielona_fi30,1
67,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,Silownik_DSNU-50-125-P-A,Silownik_DSNU-50-125-P-A,1
68,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,Zawor_dlawiaco-zwrotny_GRLA-1_4-QS-8-D,Zawor_dlawiaco-zwrotny_GRLA-1_4-QS-8-D,1
69,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,"036P_01.00.00.006_Tulejka_21,3x2,6x14","036P_01.00.00.006_Tulejka_21,3x2,6x14",1
70,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_985_M16_Zn_KL8,DIN_985_M16_Zn_KL8,1
71,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_985_M8_Zn_KL.8,DIN_985_M8_Zn_KL.8,1
72,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_125_M16_Zn_HV200,DIN_125_M16_Zn_HV200,1
73,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,539926 SBN-50_63---(0LB),539926 SBN-50_63---(0LB),1
74,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_125_M8_Zn_HV200,DIN_125_M8_Zn_HV200,1
75,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,539926 SBN-50_63---(0LB),539926 SBN-50_63---(0LB),1
76,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_125_M16_Zn_HV200,DIN_125_M16_Zn_HV200,1
77,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_125_M8_Zn_HV200,DIN_125_M8_Zn_HV200,1
78,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_125_M8_Zn_HV200,DIN_125_M8_Zn_HV200,1
79,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_912_M8x25_Zn_KL8.8,DIN_912_M8x25_Zn_KL8.8,1
80,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,"Glowica_przegubowa_9263 SGS-M16x1,5","Glowica_przegubowa_9263 SGS-M16x1,5",1
81,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,"036P_01.00.00.006_Tulejka_21,3x2,6x14","036P_01.00.00.006_Tulejka_21,3x2,6x14",1
82,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,Zawor_dlawiaco-zwrotny_GRLA-1_4-QS-8-D,Zawor_dlawiaco-zwrotny_GRLA-1_4-QS-8-D,1
83,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,"036P_01.00.00.006_Tulejka_21,3x2,6x14","036P_01.00.00.006_Tulejka_21,3x2,6x14",1
84,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_125_M16_Zn_HV200,DIN_125_M16_Zn_HV200,1
85,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_125_M16_Zn_HV200,DIN_125_M16_Zn_HV200,1
86,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_125_M8_Zn_HV200,DIN_125_M8_Zn_HV200,1
87,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_985_M16_Zn_KL8,DIN_985_M16_Zn_KL8,1
88,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_985_M8_Zn_KL.8,DIN_985_M8_Zn_KL.8,1
89,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_985_M8_Zn_KL.8,DIN_985_M8_Zn_KL.8,1
90,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_125_M8_Zn_HV200,DIN_125_M8_Zn_HV200,1
91,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_985_M8_Zn_KL.8,DIN_985_M8_Zn_KL.8,1
92,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_125_M8_Zn_HV200,DIN_125_M8_Zn_HV200,1
93,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_985_M8_Zn_KL.8,DIN_985_M8_Zn_KL.8,1
94,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_125_M8_Zn_HV200,DIN_125_M8_Zn_HV200,1
95,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_912_M8x25_Zn_KL8.8,DIN_912_M8x25_Zn_KL8.8,1
96,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_912_M8x25_Zn_KL8.8,DIN_912_M8x25_Zn_KL8.8,1
97,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_912_M8x25_Zn_KL8.8,DIN_912_M8x25_Zn_KL8.8,1
98,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,Silownik_DSNU-50-125-P-A,Silownik_DSNU-50-125-P-A,1
99,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_912_M8x25_Zn_KL8.8,DIN_912_M8x25_Zn_KL8.8,1
100,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,"036P_01.00.00.006_Tulejka_21,3x2,6x14","036P_01.00.00.006_Tulejka_21,3x2,6x14",1
101,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,"036P_01.00.00.006_Tulejka_21,3x2,6x14","036P_01.00.00.006_Tulejka_21,3x2,6x14",1
102,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_125_M16_Zn_HV200,DIN_125_M16_Zn_HV200,1
103,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,"036P_01.00.00.006_Tulejka_21,3x2,6x14","036P_01.00.00.006_Tulejka_21,3x2,6x14",1
104,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,"036P_01.00.00.006_Tulejka_21,3x2,6x14","036P_01.00.00.006_Tulejka_21,3x2,6x14",1
105,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_931_M16x100_Zn_KL8.8,DIN_931_M16x100_Zn_KL8.8,1
106,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_985_M8_Zn_KL.8,DIN_985_M8_Zn_KL.8,1
107,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_125_M8_Zn_HV200,DIN_125_M8_Zn_HV200,1
108,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_05.00.00.000_Wal_podnoszacy,036P_05.00.00.000_Wal_podnoszacy,1
109,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,"Glowica_przegubowa_9263 SGS-M16x1,5","Glowica_przegubowa_9263 SGS-M16x1,5",1
110,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,Silownik_DSNU-50-125-P-A,Silownik_DSNU-50-125-P-A,1
111,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,683677 SBN-50_63---(R),683677 SBN-50_63---(R),1
112,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_03.00.00.000_Oprawa_dzielona_fi30,036P_03.00.00.000_Oprawa_dzielona_fi30,1
113,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,539926 SBN-50_63---(0LB),539926 SBN-50_63---(0LB),1
114,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_933_M10x90_Zn_KL8.8,DIN_933_M10x90_Zn_KL8.8,1
115,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,Zawor_dlawiaco-zwrotny_GRLA-1_4-QS-8-D,Zawor_dlawiaco-zwrotny_GRLA-1_4-QS-8-D,1
116,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_912_M8x25_Zn_KL8.8,DIN_912_M8x25_Zn_KL8.8,1
117,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_985_M8_Zn_KL.8,DIN_985_M8_Zn_KL.8,1
118,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_125_M8_Zn_HV200,DIN_125_M8_Zn_HV200,1
119,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_912_M8x25_Zn_KL8.8,DIN_912_M8x25_Zn_KL8.8,1
120,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_985_M8_Zn_KL.8,DIN_985_M8_Zn_KL.8,1
121,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_125_M8_Zn_HV200,DIN_125_M8_Zn_HV200,1
122,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_912_M8x25_Zn_KL8.8,DIN_912_M8x25_Zn_KL8.8,1
123,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_985_M8_Zn_KL.8,DIN_985_M8_Zn_KL.8,1
124,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_00.00.00.001_Wal_napedowy,036P_00.00.00.001_Wal_napedowy,1
125,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_125_M8_Zn_HV200,DIN_125_M8_Zn_HV200,1
126,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_912_M8x25_Zn_KL8.8,DIN_912_M8x25_Zn_KL8.8,1
127,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_00.00.00.001_Wal_napedowy,036P_00.00.00.001_Wal_napedowy,1
128,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_03.00.00.000_Oprawa_dzielona_fi30,036P_03.00.00.000_Oprawa_dzielona_fi30,1
129,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,"036P_01.00.00.006_Tulejka_21,3x2,6x14","036P_01.00.00.006_Tulejka_21,3x2,6x14",1
130,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,"036P_01.00.00.006_Tulejka_21,3x2,6x14","036P_01.00.00.006_Tulejka_21,3x2,6x14",1
131,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_934_M10_Zn_KL8,DIN_934_M10_Zn_KL8,1
132,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_01.00.00.000_Modul_lancuchowy_podnoszony,036P_01.00.00.000_Modul_lancuchowy_podnoszony,1
133,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_01.00.00.000_Modul_lancuchowy_podnoszony,036P_01.00.00.000_Modul_lancuchowy_podnoszony,1
134,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_01.00.00.000_Modul_lancuchowy_podnoszony,036P_01.00.00.000_Modul_lancuchowy_podnoszony,1
135,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_01.00.00.000_Modul_lancuchowy_podnoszony,036P_01.00.00.000_Modul_lancuchowy_podnoszony,1
136,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_01.00.00.000_Modul_lancuchowy_podnoszony,036P_01.00.00.000_Modul_lancuchowy_podnoszony,1
137,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_06.00.00.000_Cieglo,036P_06.00.00.000_Cieglo,1
138,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_06.00.00.000_Cieglo,036P_06.00.00.000_Cieglo,1
139,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_06.00.00.000_Cieglo,036P_06.00.00.000_Cieglo,1
140,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_06.00.00.000_Cieglo,036P_06.00.00.000_Cieglo,1
141,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_06.00.00.000_Cieglo,036P_06.00.00.000_Cieglo,1
142,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_06.00.00.000_Cieglo,036P_06.00.00.000_Cieglo,1
143,1,036P,036P_00.00.00.000_Przenosnik_lancuchowy,036P_06.00.00.000_Cieglo,036P_06.00.00.000_Cieglo,1
144,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_931_M16x100_Zn_KL8.8,DIN_931_M16x100_Zn_KL8.8,1
145,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_931_M16x100_Zn_KL8.8,DIN_931_M16x100_Zn_KL8.8,1
146,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_931_M16x100_Zn_KL8.8,DIN_931_M16x100_Zn_KL8.8,1
147,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_931_M16x100_Zn_KL8.8,DIN_931_M16x100_Zn_KL8.8,1
148,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_931_M16x100_Zn_KL8.8,DIN_931_M16x100_Zn_KL8.8,1
149,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_931_M16x100_Zn_KL8.8,DIN_931_M16x100_Zn_KL8.8,1
150,0,036P,036P_00.00.00.000_Przenosnik_lancuchowy,DIN_931_M16x100_Zn_KL8.8,DIN_931_M16x100_Zn_KL8.8,1
